Case Record ID,Campaign Code
500PU0000101i6dYAA,SUBRE
500PU0000101OccYAE,SUBRE
500PU0000101UOfYAM,SUBRE
500PU0000102CUQYA2,SUBRE
500PU0000101sUAYAY,SUBRE
500PU00000zxg3SYAQ,SUBRE
500PU0000101gpdYAA,SUBRE
500PU0000102CXdYAM,SUBRE
500PU00001022d9YAA,SUBRE
500PU0000102894YAA,SUBRE
500PU0000102ANmYAM,SUBRE
500PU0000101udzYAA,SUBRE
500PU00001029zcYAA,SUBRE
500PU0000101iUoYAI,SUBRE
500PU0000101g6UYAQ,SUBRE
500PU0000102C9SYAU,SUBRE
500PU0000101ycpYAA,SUBRE
500PU00001021NjYAI,SUBRE
500PU0000101v2EYAQ,SUBRE
500PU0000100fEFYAY,SUBRE
500PU00001024odYAA,SUBRE
500PU0000101j14YAA,SUBRE
500PU0000101vLZYAY,SUBRE
500PU0000102BWkYAM,SUBRE
500PU0000101hDnYAI,SUBRE
500PU0000100WnZYAU,SUBRE
500PU000010274xYAA,SUBRE
500PU0000102CRBYA2,SUBRE
500PU0000101bjUYAQ,SUBRE
500PU0000102BDOYA2,SUBRE
500PU0000101lEBYAY,SUBRE
500PU0000101xX3YAI,SUBRE
500PU0000101jdnYAA,SUBRE
500PU00001021fVYAQ,SUBRE
500PU0000102CNxYAM,SUBRE
500PU0000102AXSYA2,SUBRE
500PU0000101sCQYAY,SUBRE
500PU0000101jvZYAQ,SUBRE
500PU00001028vTYAQ,SUBRE
500PU0000102CKjYAM,SUBRE
500PU0000101o2LYAQ,SUBRE
500PU0000101gPoYAI,SUBRE
500PU000010201vYAA,SUBRE
500PU0000101mJuYAI,SUBRE
500PU0000102CCfYAM,SUBRE
500PU0000100dc7YAA,SUBRE
500PU0000101Zg5YAE,SUBRE
500PU0000101anSYAQ,SUBRE
500PU0000101vBtYAI,SUBRE
500PU0000101lAvYAI,SUBRE
500PU0000101aSOYAY,SUBRE
500PU0000101kulYAA,SUBRE
500PU0000101gJHYAY,SUBRE
500PU0000101h7LYAQ,SUBRE
500PU0000101sPLYAY,SUBRE
500PU0000101B7VYAU,SUBRE
500PU0000101nWAYAY,SUBRE
500PU0000102BtJYAU,SUBRE
500PU0000101R9AYAU,SUBRE
500PU0000101nkaYAA,SUBRE
500PU00001026FKYAY,SUBRE
500PU0000101MRBYA2,SUBRE
500PU00000zyRAUYA2,SUBRE
500PU0000101hnJYAQ,SUBRE
500PU0000102BoTYAU,SUBRE
500PU0000102BlFYAU,SUBRE
500PU0000101x8oYAA,SUBRE
500PU0000102BjdYAE,SUBRE
500PU0000101OsmYAE,SUBRE
500PU000010260qYAA,SUBRE
500PU0000102BgPYAU,SUBRE
500PU0000101ehNYAQ,SUBRE
500PU0000101nChYAI,SUBRE
500PU000010181TYAQ,SUBRE
500PU0000101fzxYAA,SUBRE
500PU0000101eFyYAI,SUBRE
500PU0000101ssLYAQ,SUBRE
500PU0000101ES5YAM,SUBRE
500PU0000102BYLYA2,SUBRE
500PU0000101nixYAA,SUBRE
500PU0000102BWjYAM,SUBRE
500PU0000101iZhYAI,SUBRE
500PU00001017ThYAI,SUBRE
500PU000010296kYAA,SUBRE
500PU0000101XUcYAM,SUBRE
500PU000010282cYAA,SUBRE
500PU0000101RSKYA2,SUBRE
500PU0000101jloYAA,SUBRE
500PU0000101lFnYAI,SUBRE
500PU0000102643YAA,SUBRE
500PU0000101IFtYAM,SUBRE
500PU0000102AqoYAE,SUBRE
500PU00001020gAYAQ,SUBRE
500PU0000101c1GYAQ,SUBRE
500PU0000101va4YAA,SUBRO
500PU0000102BN3YAM,SUBRE
500PU000010254oYAA,SUBRE
500PU0000101aaVYAQ,SUBRE
500PU0000101FshYAE,SUBRE
500PU0000102BIDYA2,SUBRE
500PU00001026dWYAQ,SUBRE
500PU0000101EdJYAU,SUBRE
500PU00001026LpYAI,SUBRE
500PU0000101xDgYAI,SUBRE
500PU0000101G7DYAU,SUBRE
500PU00000zyVSTYA2,SUBRE
500PU0000101gmLYAQ,SUBRE
500PU0000101oOxYAI,SUBRE
500PU0000101OpVYAU,SUBRE
500PU0000101Rx6YAE,SUBRE
500PU0000101V6BYAU,SUBRE
500PU0000101e4eYAA,SUBRE
500PU0000102B3hYAE,SUBRE
500PU0000102B25YAE,SUBRE
500PU0000101UOeYAM,SUBRE
500PU0000101rctYAA,SUBRE
500PU0000101IgsYAE,SUBRE
500PU0000101eqzYAA,SUBRE
500PU0000101uKdYAI,SUBRE
500PU0000101XCqYAM,SUBRE
500PU00001028djYAA,SUBRE
500PU0000101gb3YAA,SUBRE
500PU00001022zlYAA,SUBRE
500PU0000101Is8YAE,SUBRE
500PU0000101w1XYAQ,SUBRE
500PU00001029xyYAA,SUBRE
500PU0000101WodYAE,SUBRE
500PU0000102AkLYAU,SUBRE
500PU0000101Wa7YAE,SUBRE
500PU00001020bRYAQ,SUBRE
500PU0000101EdIYAU,SUBRE
500PU00001020GMYAY,SUBRE
500PU0000101RsAYAU,SUBRE
500PU0000101rUpYAI,SUBRE
500PU0000102AdtYAE,SUBRE
500PU00001015YJYAY,SUBRE
500PU0000101neAYAQ,SUBRE
500PU0000101TR4YAM,SUBRE
500PU0000101rDAYAY,SUBRE
500PU0000101TnXYAU,SUBRE
500PU0000101Fj2YAE,SUBRE
500PU0000101vBsYAI,SUBRE
500PU0000101l6CYAQ,SUBRE
500PU0000101h46YAA,SUBRE
500PU0000101tusYAA,SUBRE
500PU00001028NdYAI,SUBRE
500PU0000101HN8YAM,SUBRE
500PU00001028nQYAQ,SUBRE
500PU00001024IOYAY,SUBRE
500PU0000101NVDYA2,SUBRE
500PU0000101gzEYAQ,SUBRE
500PU00001023kVYAQ,SUBRE
500PU0000101rD9YAI,SUBRE
500PU0000101nMeYAI,SUBRE
500PU0000102AM9YAM,SUBRE
500PU0000100zKzYAI,SUBRE
500PU00001019QeYAI,SUBRE
500PU0000101z0xYAA,SUBRE
500PU0000101pJMYAY,SUBRE
500PU0000100ArlYAE,SUBRE
500PU00001025cdYAA,SUBRE
500PU0000101tTOYAY,SUBRE
500PU0000101tgKYAQ,SUBRE
500PU00001027heYAA,SUBRE
500PU0000102A1CYAU,SUBRE
500PU0000101TiiYAE,SUBRE
500PU0000101hKKYAY,SUBRE
500PU0000102A2nYAE,SUBRE
500PU0000101xonYAA,SUBRE
500PU00001026IYYAY,SUBRE
500PU0000101rOQYAY,SUBRE
500PU000010206hYAA,SUBRE
500PU0000101pEWYAY,SUBRE
500PU00001029t7YAA,SUBRE
500PU00001024VGYAY,SUBRE
500PU0000101rUoYAI,SUBRE
500PU0000101CbSYAU,SUBRE
500PU0000101gL0YAI,SUBRE
500PU0000101mroYAA,SUBRE
500PU0000101u1JYAQ,SUBRE
500PU0000101iZfYAI,SUBRE
500PU0000101enmYAA,SUBRE
500PU00001029jRYAQ,SUBRE
500PU0000101mbcYAA,SUBRE
500PU0000101YqRYAU,SUBRE
500PU00001024JyYAI,SUBRE
500PU0000101e7qYAA,SUBRE
500PU00001020JbYAI,SUBRE
500PU00001025khYAA,SUBRE
500PU00001024LbYAI,SUBRE
500PU0000101it7YAA,SUBRE
500PU00001023NvYAI,SUBRE
500PU000010128zYAA,SUBRO
500PU0000101V4eYAE,SUBRE
500PU00001029ZlYAI,SUBRO
500PU0000101h5nYAA,SUBRE
500PU0000101XRUYA2,SUBRE
500PU0000101n7xYAA,SUBRE
500PU0000101nSsYAI,SUBRE
500PU0000101sAqYAI,SUBRE
500PU0000101gCsYAI,SUBRE
500PU00001024TkYAI,SUBRE
500PU0000101ePcYAI,SUBRE
500PU0000101KPHYA2,SUBRE
500PU0000101QOJYA2,SUBRE
500PU0000101QZbYAM,SUBRE
500PU0000101SmiYAE,SUBRE
500PU0000101SOSYA2,SUBRE
500PU0000101xIZYAY,SUBRE
500PU0000101VR8YAM,SUBRE
500PU0000101g80YAA,SUBRE
500PU0000101efjYAA,SUBRE
500PU0000101o0hYAA,SUBRE
500PU00001029I1YAI,SUBRE
500PU0000101i1nYAA,SUBRE
500PU0000101PiRYAU,SUBRE
500PU0000101cFeYAI,SUBRE
500PU00001028nOYAQ,SUBRE
500PU0000101Eg0YAE,SUBRE
